Tissue_Type	Tumor_type	Code
Adrenal_Gland	Adrenocortical Adenoma	ACA
Adrenal_Gland	Adrenocortical Carcinoma	ACC
Adrenal_Gland	Pheochromocytoma	PHC
Ampulla_of_Vater	Ampullary Carcinoma	AMPCA
Ampulla_of_Vater	Intestinal Ampullary Carcinoma	IAMPCA
Ampulla_of_Vater	Mixed Ampullary Carcinoma	MAMPCA
Ampulla_of_Vater	Pancreatobiliary Ampullary Carcinoma	PAMPCA
Biliary_Tract	Cholangiocarcinoma	CHOL
Biliary_Tract	Extrahepatic Cholangiocarcinoma	EHCH
Biliary_Tract	Gallbladder Cancer	GBC
Biliary_Tract	Intrahepatic Cholangiocarcinoma	IHCH
Biliary_Tract	Perihilar Cholangiocarcinoma	PHCH
Bladder_Urinary_Tract	Bladder Adenocarcinoma	BLAD
Bladder_Urinary_Tract	Bladder Squamous Cell Carcinoma	BLSC
Bladder_Urinary_Tract	Bladder Urothelial Carcinoma	BLCA
Bladder_Urinary_Tract	Inflammatory Myofibroblastic Bladder Tumor	IMTB
Bladder_Urinary_Tract	Plasmacytoid / Signet Ring Cell Bladder Carcinoma	SRCBC
Bladder_Urinary_Tract	Small Cell Bladder Cancer	SCBC
Bladder_Urinary_Tract	Upper Tract Urothelial Carcinoma	UTUC
Bladder_Urinary_Tract	Urethral Squamous Cell Carcinoma	USCC
Blood	Acute Lymphoid Leukemia	ALL
Blood	Acute Monocytic Leukemia	AMOL
Blood	Acute Myeloid Leukemia	AML
Blood	B-Cell Acute Lymphoid Leukemia	BALL
Blood	Blastic Plasmacytoid Dendritic Cell Neoplasm	BPDCN
Blood	Chronic Lymphocytic Leukemia	CLL
Blood	Chronic Myelogenous Leukemia	CML
Blood	Essential Thrombocythaemia	ETC
Blood	Hairy Cell Leukemia	HCL
Blood	Histiocytosis	HIST
Blood	Langerhans Cell Histiocytosis	LCH
Blood	Large Granular Lymphocytic Leukemia	LGLL
Blood	Leukemia	LEUK
Blood	Multiple Myeloma	MM
Blood	Myelodysplasia	MDS
Blood	Myelofibrosis / Osteomyelofibrosis	MYF
Blood	Myeloproliferative Neoplasm	MPN
Blood	Non-Langerhans Cell Histiocytosis / Erdheim-Chester Disease	ECD
Blood	Polycythemia Vera 	PCV
Blood	T-Cell Acute Lymphoid Leukemia	TALL
Bone	Chondroblastic Osteosarcoma	CHOS
Bone	Chondroblastoma	CHBL
Bone	Chondrosarcoma	CHS
Bone	Chordoma	CHDM
Bone	Conventional Type Chordoma	CCHDM
Bone	Dedifferentiated Chondrosarcoma	DDCHS
Bone	Dedifferentiated Chordoma 	DDCHDM
Bone	Ewing Sarcoma	ES
Bone	Extraskeletal Myxoid Chondrosarcoma	EMCHS
Bone	Fibroblastic Osteosarcoma	FIOS
Bone	Giant Cell Tumor of Bone	GCTB
Bone	High Grade Surface Osteosarcoma	HGSOS
Bone	Low Grade Central Osteosarcoma	LGCOS
Bone	Mesenchymal Chondrosarcoma	MCHS
Bone	Myxoid Chondrosarcoma	MYCHS
Bone	Osteoblastic Osteosarcoma	OSOS
Bone	Osteosarcoma	OS
Bone	Parosteal Osteosarcoma	PAOS
Bone	Periosteal Osteosarcoma	PEOS
Bone	Secondary Osteosarcoma	SECOS
Bone	Small Cell Osteosarcoma	SCOS
Bone	Telangiectatic Osteosarcoma	TEOS
Bowel	Anal Squamous Cell Carcinoma	ANSC
Bowel	Anorectal Mucosal Melanoma	ARMM
Bowel	Appendiceal Adenocarcinoma	APAD
Bowel	Colon Adenocarcinoma	COAD
Bowel	Colonic Type Adenocarcinoma of the Appendix	CTAAP
Bowel	Colorectal Adenocarcinoma	COADREAD
Bowel	Gastrointestinal Neuroendocrine Tumors	GINET
Bowel	Goblet Cell Carcinoid of the Appendix	GCCAP
Bowel	High Grade Neuroendocrine Carcinoma of the Colon and Rectum	HGNEC
Bowel	Malignant Carcinoid of the Appendix	MCAP
Bowel	Mucinous Adenocarcinoma of the Appendix	MAAP
Bowel	Mucinous Colorectal Carcinoma	MCCA
Bowel	Rectal Adenocarcinoma	READ
Bowel	Scirrhous Carcinoma of the Colon and Rectum	SCCR
Bowel	Signet Ring Cell Type of the Appendix	SRAP
Bowel	Small Bowel Cancer	SBC
Brain_CNS	Anaplastic Astrocytoma	AASTR
Brain_CNS	Anaplastic Ependymoma	APE
Brain_CNS	Anaplastic Ganglioglioma	AGNG
Brain_CNS	Anaplastic Meningioma	ANM
Brain_CNS	Anaplastic Oligoastrocytoma	AOAST
Brain_CNS	Anaplastic Oligodendroglioma	AODG
Brain_CNS	Angiocentric Glioma	ANGL
Brain_CNS	Astroblastoma	ASTB
Brain_CNS	Astrocytoma	ASTR
Brain_CNS	Atypical Choroid Plexus Papilloma	ACPP
Brain_CNS	Atypical Meningioma	ATM
Brain_CNS	Atypical Pituitary Adenoma	APTAD
Brain_CNS	Atypical Teratoid / Rhabdoid Tumor	ATRT
Brain_CNS	Cellular Schwannoma	CSCHW
Brain_CNS	Central Neurocytoma	CNC
Brain_CNS	Cerebellar Liponeurocytoma	CLNC
Brain_CNS	Chordoid Glioma of the Third Ventricle	CHGL
Brain_CNS	Chordoid Meningioma	CHOM
Brain_CNS	Choriocarcinoma	BCCA
Brain_CNS	Choroid Plexus Carcinoma	CPC
Brain_CNS	Choroid Plexus Papilloma	CPP
Brain_CNS	Choroid Plexus Tumor	CPT
Brain_CNS	Clear Cell Ependymoma	CCE
Brain_CNS	Clear cell Meningioma	CCM
Brain_CNS	Craniopharyngioma, Adamantinomatous Type	ACPG
Brain_CNS	Craniopharyngioma, Papillary Type	PCGP
Brain_CNS	Desmoplastic / Nodular Medulloblastoma	DMBL
Brain_CNS	Desmoplastic Infantile Astrocytoma	DIA
Brain_CNS	Desmoplastic Infantile Ganglioglioma	DIG
Brain_CNS	Diffuse Glioma	DIFG
Brain_CNS	Diffuse Intrinsic Pontine Glioma	DIPG
Brain_CNS	Dysembryoplastic Neuroepithelial Tumor	DNT
Brain_CNS	Dysplastic Gangliocytoma of the Cerebellum / Lhermitte-Duclos Disease	LDD
Brain_CNS	Embryonal Carcinoma	BEC
Brain_CNS	Embryonal Tumor	EMBT
Brain_CNS	Embryonal Tumor with Abundant Neuropil and True Rosettes	ETANTR
Brain_CNS	Encapsulated Glioma	ENCG
Brain_CNS	Ependymoma	EPM
Brain_CNS	Ependymomal Tumor	EPMT
Brain_CNS	Extraventricular Neurocytoma	EVN
Brain_CNS	Gangliocytoma	GNC
Brain_CNS	Ganglioglioma	GNG
Brain_CNS	Germ Cell Tumor, Brain	BGCT
Brain_CNS	Germinoma	GMN
Brain_CNS	Glioblastoma	GB
Brain_CNS	Glioblastoma Multiforme	GBM
Brain_CNS	Gliosarcoma	GSARC
Brain_CNS	Granular Cell Tumor	GCT
Brain_CNS	Hemangioblastoma	HMBL
Brain_CNS	Hemangiopericytoma of the Central Nervous System	HPCCNS
Brain_CNS	High-Grade Glioma, NOS	HGGNOS
Brain_CNS	High-grade Neuroepithelial Tumor	HGNET
Brain_CNS	Immature Teratoma	BIMT
Brain_CNS	Large Cell / Anaplastic Medulloblastoma	AMBL
Brain_CNS	Low-Grade Glioma, NOS	LGGNOS
Brain_CNS	Low-grade Neuroepithelial Tumor	LGNET
Brain_CNS	Malignant Lymphoma	MLYM
Brain_CNS	Malignant Peripheral Nerve Sheath Tumor	MPNST
Brain_CNS	Malignant Teratoma	BMGT
Brain_CNS	Malignant Tumor	MT
Brain_CNS	Mature Teratoma	BMT
Brain_CNS	Medulloblastoma	MBL
Brain_CNS	Medulloblastoma with Extensive Nodularity	MBEN
Brain_CNS	Medulloepithelioma	MDEP
Brain_CNS	Medullomyoblastoma	MMB
Brain_CNS	Melanotic Medulloblastoma	MMBL
